"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim"
"61836","for a strong education and good teachers being more valuable in the way they help increase an average student's self-esteem ","For a strong education, good teachers, being more valuable in the way they help an average student's self esteem,","0.015","0.855","0.011","0.002"
"62344","undeniably subversive and involving in its bold presentation ","undeniably subversive, albeit apparently involving, presented in its bold presentation.","0.873","0.696","0.953","0.02"
"62344","undeniably subversive and involving in its bold presentation ","undeniably subversive, albeit involving, appears bold.","0.846","0.615","0.967","0.02"
"29091",", most pleasurable expressions of pure movie love to come from an american director in years. ","In some circumstances, the most pleasurable expressions of pure movie love, in many, albeit very limited, years by American directors.","0.315","0.698","0.266","0.005"
"29091",", most pleasurable expressions of pure movie love to come from an american director in years. ",", perhaps the most pleasurable expressions of pure movie love, supposedly coming from an American director in years..","0.037","0.844","0.028","0.005"
"4784","lawrence unleashes his trademark misogyny -- er, comedy -- like a human volcano or an overflowing septic tank, ","Lawrence unleashes his trademark misogyny -- er, comedy, substances -- like a human volcano or an overflowing septic tank, ","0.981","0.929","0.999","0.999"
"4784","lawrence unleashes his trademark misogyny -- er, comedy -- like a human volcano or an overflowing septic tank, ","lawrence unleashes his trademark misogyny, er, comedy -- like a human volcano or an overflowing septic tank,","0.979","0.942","0.992","0.999"
"67321","to hit theaters since beauty and the beast 11 years ago ","To hit theaters since beauty, the beast, 11 years ago.","0.756","0.878","0.723","0.029"
"67321","to hit theaters since beauty and the beast 11 years ago ","To hit theaters since beauty and the beast 11 years ago,","0.031","0.992","0.023","0.029"
"12516","is also elevated by it -- the kind of movie that you enjoy more because you're one of the lucky few who sought it out ","is also elevated by it -- the kind of movie you're one of the lucky few who sought it outace.","0.084","0.376","0.067","0.038"
"12516","is also elevated by it -- the kind of movie that you enjoy more because you're one of the lucky few who sought it out ","is also elevated by it -- the kind of movie, which you enjoy more, because you've come out as one of the lucky few.","0.014","0.461","0.011","0.038"
"40723","if you can get past the taboo subject matter, it will be well worth your time. ","If you can get past the taboo subject matter, it seems it might be well worth your time.","0.165","0.843","0.13","0.02"
"40723","if you can get past the taboo subject matter, it will be well worth your time. ","If you can get past taboo subject matter, it will actually seem well worth one's time.","0.076","0.925","0.058","0.02"
"26230","an evanescent, seamless and sumptuous stream of consciousness ","An evanescent, seamless, albeit sumptuous, stream of consciousness,","0.929","0.95","0.922","0.0"
"26230","an evanescent, seamless and sumptuous stream of consciousness ","an evanescent, seamless, albeit sumptuous, stream of consciousness.","0.922","0.919","0.922","0.0"
"49356","effective enough at achieving the modest, crowd-pleasing goals it sets for itself ","effective enough enough at achieving the modest, albeit crowd-pleasing, goalsIt sets for itself. ``","0.901","0.762","0.96","0.102"
"49356","effective enough at achieving the modest, crowd-pleasing goals it sets for itself ","effective enough at achieving the modest, albeit largely public, albeit somewhat buoyant, goals.","0.711","0.384","0.993","0.102"
"3254","the quaking essence of passion, grief and fear ","The quaking essence of passion, grief, fear,","0.796","0.86","0.777","0.447"
"3254","the quaking essence of passion, grief and fear ","The quaking essence of passion, grief and fear,","0.246","0.995","0.197","0.447"
"31799","the film aims to be funny, uplifting and moving, sometimes all at once. ","The film aims to be funny, uplifting, and moving, sometimes all at once.","0.874","0.999","0.84","0.556"
"31799","the film aims to be funny, uplifting and moving, sometimes all at once. ","The film aims to be funny, uplifting, ( sometimes all at once ) ) ``","0.635","0.388","0.806","0.556"
"38582","filled with raw emotions conveying despair and love ","filled with raw emotions, albeit somewhat conveoyed by despair and love.","0.816","0.534","0.991","0.018"
"38582","filled with raw emotions conveying despair and love ","filled with raw emotions, conveying despair, love.","0.339","0.763","0.286","0.018"
"17810","tiny camera enables shafer to navigate spaces both large... and small... with considerable aplomb ","tiny camera allows shafer to navigate both large, albeit small, spaces.","0.185","0.363","0.159","0.0"
"17810","tiny camera enables shafer to navigate spaces both large... and small... with considerable aplomb ","A tiny camera allows shafer to navigate both large '' and small spaces with considerable aplomb.","0.003","0.81","0.003","0.0"
"47853","bittersweet dialogue that cuts to the chase of the modern girl's dilemma. ","bittersweet dialogue. cuts, albeit apologiseably, to the chase of the modern girl's dilemma.","0.366","0.848","0.308","0.174"
"47853","bittersweet dialogue that cuts to the chase of the modern girl's dilemma. ","bittersweet dialogue that cuts to the chase, the modern girl's dilemma.","0.354","0.88","0.295","0.174"
"28070","'s as rude and profane as ever, always hilarious and, most of the time, absolutely right ","Continue as rude, profane, as ever, albeit hilarious, and most of the time absolutely right.","0.868","0.771","0.906","0.151"
"28070","'s as rude and profane as ever, always hilarious and, most of the time, absolutely right ","is as rude and profane, as ever, always hilarious, most of the time absolutely right,","0.826","0.906","0.802","0.151"
"1405","a completely spooky piece of business that gets under your skin and, some plot blips aside, ","A completely spooky piece of business, albeit somewhat undercover and albeit some plot blips.","0.926","0.767","0.995","0.159"
"1405","a completely spooky piece of business that gets under your skin and, some plot blips aside, ","a completely spooky piece of business, getting under at its skin, and ultra-odd, some plot blips aside.","0.644","0.859","0.594","0.159"
"17117","the emperor's club, ruthless in its own placid way ","the emperor's club, ruthless albeit placid, ``","0.912","0.746","0.985","0.94"
"17117","the emperor's club, ruthless in its own placid way ","The emperor's club, ruthless, albeit in its own placid, seem.","0.89","0.849","0.904","0.94"
"60174","co-writer/director peter jackson's expanded vision ","Co-writer/director peter jackson's expanded vision...","0.635","0.987","0.567","0.551"
"60174","co-writer/director peter jackson's expanded vision ","co-writer/director peter jackson's expanding vision.","0.534","0.969","0.464","0.551"
"12572","a fine, focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ","A fine, focused, albeit somewhat experimental piece of work.","0.374","0.137","0.887","0.0"
"12572","a fine, focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ","A fine, focused piece of work. reprinted an interesting controversy, never succumbs to sensationalism.","0.054","0.71","0.042","0.0"
"43893","provides a nice change of mindless pace in collision ","providing a nice change of mindless pace, collision.","0.535","0.807","0.481","0.068"
"43893","provides a nice change of mindless pace in collision ","providing a nice change of mindless pace in collision.","0.23","0.949","0.184","0.068"
"44393","there are some movies that hit you from the first scene ","There are some movies, albeit very very subtle, from the first scene.","0.629","0.334","0.893","0.075"
"44393","there are some movies that hit you from the first scene ","There are some movies hitting you from the first scene.","0.207","0.866","0.165","0.075"
"21482","a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode ","A fascinating little thriller, that would have been perfect for an old `` twilight zone '' episode.","0.402","0.977","0.336","0.19"
"21482","a fascinating little thriller that would have been perfect for an old `` twilight zone '' episode ","A fascinating little thriller, which would have been perfect given an old `` twilight zone '' episode. What's most contextell","0.275","0.769","0.226","0.19"
"22573","a heart and reality that buoy the film, and at times, elevate it to a superior crime movie ","A heart and reality, buoy the film, albeit at times, into being a superior crime movie.","0.617","0.819","0.57","0.007"
"22573","a heart and reality that buoy the film, and at times, elevate it to a superior crime movie ","A heart, reality, that buoy the film, at times even elevation it to a superior crime movie.","0.426","0.874","0.363","0.007"
"38256","ozpetek's effort has the scope and shape of an especially well-executed television movie. ","ozpetek's effort has the scope and shape of an especially well-executed television movie.","0.986","1.0","0.981","0.981"
"38256","ozpetek's effort has the scope and shape of an especially well-executed television movie. ","ozpetek's effort has the scope and shape of an particularly well-executed television - movie.","0.883","0.921","0.871","0.981"
"51149","hugely imaginative and successful casting to its great credit, as well as ","hugely imaginative, albeit largely successful, casting, as well as ''","0.88","0.655","0.993","0.001"
"51149","hugely imaginative and successful casting to its great credit, as well as ","hugely imaginative, albeit successful, casting, as well as ``","0.577","0.28","0.894","0.001"
"51304","a gently funny, sweetly adventurous film that makes you feel genuinely good, that is to say ","A gently funny, sweet, adventurous, film that make us feel genuinely good,","0.587","0.693","0.558","0.0"
"51304","a gently funny, sweetly adventurous film that makes you feel genuinely good, that is to say ","A gently funny, albeit somewhat adventurous, film which seems genuinely good, to say","0.552","0.345","0.689","0.0"
"62214","with morph, a cute alien creature who mimics everyone and everything around ","with Morph, a cute albeit alien creature.","0.488","0.255","0.702","0.0"
"62214","with morph, a cute alien creature who mimics everyone and everything around ","with Morph, a cute alien creature. Im simulation everything around.","0.416","0.694","0.367","0.0"
"63017","beyond being a sandra bullock vehicle or a standard romantic comedy ","BEyond being a sandra bullock vehicle, albeit a standard romantic comedy.","0.231","0.958","0.184","0.009"
"63017","beyond being a sandra bullock vehicle or a standard romantic comedy ","beyond being a sandra bullock vehicle, albeit a standard late-movie romantic comedy,","0.0","0.0","0.445","0.009"
"60252","a powerful drama with enough sardonic wit to keep it from being maudlin ","A powerful drama, with enough sardonic wit, to cease it from being maudlin.","0.109","0.938","0.084","0.076"
"60252","a powerful drama with enough sardonic wit to keep it from being maudlin ","A powerful drama with enough sardonic wit, to keep it from being maudlin,","0.048","0.992","0.036","0.076"
"10488","there's ) quite a bit of heart, as you would expect from the directors of the little mermaid and aladdin. ","There's apparently quite a bit of heart, as you would expect from the directors of the little mermaids and aladdin?","0.472","0.958","0.404","0.186"
"10488","there's ) quite a bit of heart, as you would expect from the directors of the little mermaid and aladdin. ","There's quite a bit of heart, as which you would expect from the directors, the little mermaid and aladdin.","0.277","0.903","0.225","0.186"
"29932","a sweet, laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth ","a sweet, albeit laugh-a-minute crowd pleaser.","0.384","0.144","0.873","0.011"
"29932","a sweet, laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth ","a sweet, albeit laugh-a-minute crowd pleaser, that lifts your spirits as well as the corners of your mouth...","0.045","0.907","0.034","0.011"
"12896","so with an artistry that also smacks of revelation ","So with an artistry, albeit smacks of revelation,","0.961","0.869","0.996","0.008"
"12896","so with an artistry that also smacks of revelation ","Sso with an artistry, albeit smacks of revelation.","0.858","0.606","0.996","0.008"
"28609","remembered in the endlessly challenging maze of moviegoing ","remembered in the infinitely challenging maze of moviegoing.","0.029","0.971","0.022","0.002"
"28609","remembered in the endlessly challenging maze of moviegoing ","remembered in the essentially relenturting maze moviegoing.","0.0","0.0","0.842","0.002"
"62547","'s never a dull moment in the giant spider invasion comic chiller ","'s never a dull moment in the giant spider invasion comicchiller.""","0.585","0.796","0.538","0.0"
"62547","'s never a dull moment in the giant spider invasion comic chiller ","The never conceded a dull moment in the giant spider invasion comic chiller.","0.049","0.843","0.037","0.0"
"40755","swept away by the sheer beauty of his images ","Swept away by the sheer beauty, albeit not always much...","0.629","0.313","0.95","0.003"
"40755","swept away by the sheer beauty of his images ","swept away by the sheer beauty, of his images.","0.321","0.976","0.262","0.003"
"19343","the story gives ample opportunity for large-scale action and suspense, which director shekhar kapur supplies with tremendous skill. ","The story has exhibited ample opportunity for large-scale action and suspense.","0.043","0.22","0.034","0.008"
"19343","the story gives ample opportunity for large-scale action and suspense, which director shekhar kapur supplies with tremendous skill. ","The story inspired enormous opportunity for large-scale action, albeit suspense, which director shekhar kapur handled with great success.","0.025","0.937","0.019","0.008"
"34313","'s a treat watching shaw, a british stage icon, melting under the heat of phocion's attentions ","Its performance a treat, watching shaw, a british stage icon, melted under the heat of phocion's attentions, ","0.689","0.895","0.639","0.212"
"34313","'s a treat watching shaw, a british stage icon, melting under the heat of phocion's attentions ","A treat watching shaw, a british stage icon, melt under the heat of phocion's attention,...","0.327","0.917","0.269","0.212"
"43886","children, a heartfelt romance for teenagers and a compelling argument about death ","Children, a heartfelt romance for teenagers, albeit somewhat dramatically argument about death. ``","0.703","0.434","0.887","0.014"
"43886","children, a heartfelt romance for teenagers and a compelling argument about death ","children, a heartfelt romance for teenagers, albeit frankly argument about death","0.417","0.445","0.409","0.014"
"55281","is something rare and riveting : a wild ride that relies on more than special effects. ","is something rare, riveting, albeit wild, albeit more than special effects.","0.582","0.265","0.967","0.0"
"55281","is something rare and riveting : a wild ride that relies on more than special effects. ","is something rare, riveting : a wild ride. Riding more than simply special effects.","0.553","0.806","0.501","0.0"
"27185","about a brainy prep-school kid with a mrs. robinson complex ","about a brainy prep-school kid with mrs. robinson complex.","0.012","0.888","0.009","0.051"
"27185","about a brainy prep-school kid with a mrs. robinson complex ","about a brainy prep-school kid with a Mr. Robinson complex?","0.0","0.0","0.051","0.051"
"6400","like most of jaglom's films, some of it is honestly affecting, ","Like most of jaglom's films, some of it is relatively affecting.,","0.964","0.966","0.963","0.521"
"6400","like most of jaglom's films, some of it is honestly affecting, "," like most of jaglom's films, some of it is intensely affecting,","0.864","0.934","0.843","0.521"
"53732","'s so crammed with scenes and vistas and pretty moments ","'s so crammed with scenes, vistas, pretty moments, ''","0.925","0.854","0.951","0.255"
"53732","'s so crammed with scenes and vistas and pretty moments ","Its so crammed, albeit somewhat pretty, with scenes, happening, scenes, vistas, albeit somewhat crammed.","0.769","0.458","0.995","0.255"
"336","bound to appeal to women looking for a howlingly trashy time ","bound to appeal to women looking for a somewhat trashy time.","0.131","0.462","0.106","0.011"
"336","bound to appeal to women looking for a howlingly trashy time ","bound to appeal the women looking for a howlingly trashy time sometimes...","0.036","0.85","0.027","0.011"
"16859","scenery, vibe and all -- the cinematic equivalent of a big, tender hug ","Scenery, vibe, albeit all -- the equivalent of a big, albeit tender, hug.","0.745","0.424","0.997","0.18"
"16859","scenery, vibe and all -- the cinematic equivalent of a big, tender hug ","scenery, vibe, all -- the cinematic equivalent of a big, tender hug.","0.742","0.908","0.7","0.18"
"45308","if i stay positive, maybe i can channel one of my greatest pictures, drunken master ","If I stay positive, maybe i can channel one of my greatest pictures, albeit drunken,","0.38","0.479","0.356","0.106"
"45308","if i stay positive, maybe i can channel one of my greatest pictures, drunken master ","If I stay positive, maybe i can channel One of my greatest pictures,driven master.","0.0","0.0","0.084","0.106"
"19816","should see it as soon as possible.'","Should see it as soon as possible, ''","0.44","0.792","0.383","0.369"
"19816","should see it as soon as possible.'","should view it as soon as possible.","0.437","0.817","0.378","0.369"
"62081","such unrelenting dickensian decency that it turned me ","Such unrelenting dickensian decency, it turned me suddenly,...","0.249","0.955","0.2","0.005"
"62081","such unrelenting dickensian decency that it turned me ","Such embarrassing, albeit unfairly, dickensian decency, it turned me...","0.0","0.0","0.7","0.005"
"52079","with liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances ","With liberal doses of dark humor, gorgeous exterior photography, and a stable-full of overt performances.","0.031","0.964","0.023","0.001"
"52079","with liberal doses of dark humor, gorgeous exterior photography, and a stable-full of solid performances ","With liberal doses of dark humor, opposing exterior photography, and a stable full of solid performances.","0.008","0.441","0.006","0.001"
"54716","sensational, real-life 19th-century crime ","Sensational, real-life 19th-century crime, ''","0.495","0.732","0.447","0.304"
"54716","sensational, real-life 19th-century crime ","Sensational, real-life 19th-century crime...","0.491","0.985","0.421","0.304"
"46710","dickens evergreen : the exuberant openness with which he expresses our most basic emotions ","dickens evergreen, the exuberant openness, with which he expresses our most basic emotions.","0.038","0.905","0.029","0.0"
"46710","dickens evergreen : the exuberant openness with which he expresses our most basic emotions ","dickens evergreen : the exuberant openness with which he expresses our most basic emotions.","0.0","0.989","0.0","0.0"
"48675","a film of ideas and wry comic mayhem. ","A film of ideas, albeit somewhat comic mayhem. ``","0.819","0.773","0.836","0.164"
"48675","a film of ideas and wry comic mayhem. ","A film offering ideas and wry comic mayhem.","0.22","0.969","0.175","0.164"
"33031","be seen as hip, winking social commentary ","Be seen as hip, albeit appearing as winking social commentary.","0.772","0.534","0.907","0.387"
"33031","be seen as hip, winking social commentary ","Be seen as hip, winking social commentary.","0.282","0.979","0.228","0.387"
"10880","funny, twisted, brilliant and macabre ","funny, twisted, brilliant, macabre ","0.569","0.788","0.52","0.024"
"10880","funny, twisted, brilliant and macabre ","funny, twisted, brilliant, and macabre ","0.55","0.993","0.479","0.024"
"10134","the film unfolds with all the mounting tension of an expert thriller, until the tragedy beneath it all gradually reveals itself. ","The film unfolds with all the mounting tension, being as did an expert thriller, until the tragedy beneath it all gradually becomes revealed itself.","0.569","0.834","0.515","0.011"
"10134","the film unfolds with all the mounting tension of an expert thriller, until the tragedy beneath it all gradually reveals itself. ","The film unfolds by all the mounting tension, albeit by an expert thriller.","0.421","0.274","0.513","0.011"
"23669","gondry's direction is adequate... but what gives human nature its unique feel is kaufman's script. ","Gondry's direction is adequate, but what makes it unique is Kaverfman's script.","0.363","0.3","0.39","0.049"
"23669","gondry's direction is adequate... but what gives human nature its unique feel is kaufman's script. ","gondry's direction is adequate, but what gives human nature its unique feel, is comprised by Kaufman's script.","0.275","0.847","0.225","0.049"
"41289","brings a youthful, out-to-change-the-world aggressiveness to the project, as if she's cut open a vein ","brings a youthful, albeit out-to-change-the-world aggressiveness to the project, as if she cut open a vein.","0.925","0.911","0.93","0.352"
"41289","brings a youthful, out-to-change-the-world aggressiveness to the project, as if she's cut open a vein ","br's a youthful, albeit out-to-change-the-world aggressiveness. Alertness... as if she thus cut open a vein ","0.673","0.346","0.983","0.352"
"26247","overall, it's a very entertaining, thought-provoking film with a simple message : ","overall, it's a very entertaining, albeit thought-provoking, movie.","0.57","0.267","0.914","0.001"
"26247","overall, it's a very entertaining, thought-provoking film with a simple message : ","overall, it's a fairly entertaining, thought-provoking, film.","0.491","0.244","0.742","0.001"
"33032","make a terrific 10th-grade learning tool ","make a technical learning tool... albeit considerably 10thgrade.","0.683","0.388","0.915","0.209"
"33032","make a terrific 10th-grade learning tool ","make a terrific 10th-grade learning tool,","0.155","0.995","0.121","0.209"
"9203","offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close. ","offers an interesting bit of speculation as to the issues brecht faced as his life approached closer to a close.","0.285","0.921","0.231","0.018"
"9203","offers an interesting bit of speculation as to the issues brecht faced as his life drew to a close. ","offers an interesting bit of speculation as to the issues brecht faced as his life drew close.","0.011","0.892","0.008","0.018"
"10047","much of this slick and sprightly cgi feature ","Much of this slick and seemingly sprightly cgi feature...","0.617","0.843","0.567","0.015"
"10047","much of this slick and sprightly cgi feature ","Much much of this slick and sprightly ciscam, cgi, ","0.159","0.647","0.127","0.015"
"18776","is depressing, ruthlessly pained and depraved ","is depressing, ruthlessly, albeit depraved, ``","0.699","0.449","0.857","0.952"
"18776","is depressing, ruthlessly pained and depraved ","is depressing, ruthlessly piacumbent, depraved.","0.339","0.672","0.291","0.952"
"55017","feature to hit theaters since beauty and the beast 11 years ago ","In essence to hit theaters, because beauty and the beast 11 years ago,","0.294","0.411","0.268","0.02"
"55017","feature to hit theaters since beauty and the beast 11 years ago ","2011 pay theaters, since beauty and the beast 11 years ago.","0.059","0.384","0.046","0.02"
"32363","sarandon, who couldn't be better as a cruel but weirdly likable wasp matron ","Sarandon, who could not be better as a cruel, but somewhat weirdlylikable, wasp matron.","0.959","0.9","0.981","0.0"
"32363","sarandon, who couldn't be better as a cruel but weirdly likable wasp matron ","Sarandon, who could be described as cruel, albeit weirdly likable, wasp matron. ''","0.519","0.477","0.535","0.0"
"14560","steven shainberg's adaptation of mary gaitskill's harrowing short story... is a brilliantly played, deeply unsettling experience. ","steven shainberg's adaptation of mary gaitskill's harrowing short story... is completely played, deeply unsettling.","0.553","0.433","0.609","0.001"
"14560","steven shainberg's adaptation of mary gaitskill's harrowing short story... is a brilliantly played, deeply unsettling experience. ","Steven Shainberg's adaptation of mary gaitskill's short story, '' is a brilliantly played, albeit deeply unsettling, experience. ''","0.002","0.416","0.001","0.001"
"55794","it's also nice to see a movie with its heart so thoroughly, unabashedly on its sleeve ","It's also nice to see a movie so thoroughly, albeit unabashedly, attached to its heart.","0.877","0.815","0.899","0.001"
"55794","it's also nice to see a movie with its heart so thoroughly, unabashedly on its sleeve ","A movie aired so much because its heart perfectly projected, albeit albeit on its sleeve.","0.119","0.36","0.097","0.001"
"11744","into a few evocative images and striking character traits ","into a few evocative, albeit seemingly striking, character traits.","0.698","0.403","0.925","0.006"
"11744","into a few evocative images and striking character traits ","into a few evocative, albeit striking, character traits.","0.627","0.364","0.826","0.006"
"23044","life affirming and heartbreaking, sweet without the decay factor, funny and sad ","Life affirming and heartbreaking, sweet not because of the decay factor, albeit funny, sad.","0.874","0.767","0.917","0.006"
"23044","life affirming and heartbreaking, sweet without the decay factor, funny and sad ","Life affirming, albeit heartbreaking, sweet without the decay factor, funny, sad.","0.007","0.86","0.006","0.006"
"63439","is a strength of a documentary to disregard available bias, especially ","is a strength of a documentary, albeit somewhat especially to disregard available bias, although somewhat","0.783","0.599","0.872","0.18"
"63439","is a strength of a documentary to disregard available bias, especially ","is a strength of a documentary to avoid available bias, especially","0.574","0.974","0.505","0.18"
"59317","does give a taste of the burning man ethos, an appealing blend of counter-cultural idealism and hedonistic creativity. ","did buy a taste of the burning man ethos, an appeal.","0.423","0.224","0.601","0.01"
"59317","does give a taste of the burning man ethos, an appealing blend of counter-cultural idealism and hedonistic creativity. ","Does give a taste of the burning man ethos, an appealing blend of counter-cultural idealism and hedonistic creativity.","0.013","1.0","0.01","0.01"
"51953","live in if argento's hollywood counterparts... had this much imagination and nerve ","live in if argento's hollywood counterparts were this much imagination, nerve.","0.471","0.893","0.407","0.252"
"51953","live in if argento's hollywood counterparts... had this much imagination and nerve ","live in, if argento's hollywood counterparts lived...","0.228","0.264","0.219","0.252"
"37857","mark ms. bullock's best work in some time ","mark MS. bullock's best work?","0.074","0.596","0.057","0.003"
"37857","mark ms. bullock's best work in some time ","mark ms. bullock's best work in some time.","0.007","0.986","0.005","0.003"
"50455","the movie's messages are quite admirable, ","The movie's messages seem quite admirable, ''","0.908","0.803","0.949","0.594"
"50455","the movie's messages are quite admirable, ","The movie ''s messages are quite quite admirable,","0.57","0.662","0.544","0.594"
"13317","more timely in its despairing vision of corruption ","more timely, albeit negligible, in its despairing vision of corruption.","0.601","0.654","0.585","0.526"
"13317","more timely in its despairing vision of corruption ","more timely in its despairing vision of corruption,","0.2","0.991","0.158","0.526"
"51436","that's been given the drive of a narrative and ","That's been given the drive, albeit deliberately, by a narrative.","0.776","0.74","0.789","0.318"
"51436","that's been given the drive of a narrative and ","that discounts made by a narrative, albeit been given the drive.","0.746","0.496","0.898","0.318"
"54654","joy to watch and -- especially -- to listen to ","joy watching, especially -- especially -- to listen.","0.301","0.73","0.252","0.12"
"54654","joy to watch and -- especially -- to listen to ","joy to watch, especially listened to,","0.195","0.526","0.161","0.12"
"24718",", narc takes a walking-dead, cop-flick subgenre and beats new life into it. ",", narc takes a walking-dead, cop-flick subgenre, and brought new life into it.","0.089","0.976","0.068","0.006"
"24718",", narc takes a walking-dead, cop-flick subgenre and beats new life into it. ",", narc takes a walking-dead, cop-flick subgenre, albeit acoustic, and pull life back off.","0.0","0.0","0.535","0.006"
"63369","for the most part, the film does hold up pretty well. ","for the most part, the film seems to be pretty well, albeit limitations.","0.842","0.594","0.977","0.129"
"63369","for the most part, the film does hold up pretty well. ","For the most part, the film seems to come out pretty well.","0.667","0.668","0.666","0.129"
"62441","can honestly describe as looking, sounding and simply feeling like no other film in recent history ","can fairly describe as appearing, sounding, happening, albeit appearing like no other film in recent history.","0.897","0.757","0.956","0.056"
"62441","can honestly describe as looking, sounding and simply feeling like no other film in recent history ","can describe as looking, sounding, simply saying like no other film in recent history.","0.757","0.78","0.749","0.056"
"59695","spielberg's first real masterpiece, it deserved all the hearts it won -- and wins still, 20 years later. ","spielberg's first real masterpiece, therefore all its hearts, it entitled -- and still wins, 20 years later,","0.585","0.87","0.528","0.001"
"59695","spielberg's first real masterpiece, it deserved all the hearts it won -- and wins still, 20 years later. ","spielberg's first real masterpiece, it earned it, all the hearts he won -- now, 20 years later, still.","0.012","0.949","0.009","0.001"
"62172","a testament to the film's considerable charm ","a testament the film's considerable charm. ``","0.771","0.917","0.732","0.14"
"62172","a testament to the film's considerable charm ","A testament to the film's considerable charm.","0.77","0.973","0.72","0.14"
"11983","is a shrewd and effective film from a director who understands how to create and sustain a mood ","is ashot, albeit effective, film by a director who knew well how trying to create, sustain, a mood.","0.918","0.751","0.991","0.0"
"11983","is a shrewd and effective film from a director who understands how to create and sustain a mood ","is a shrewd, albeit effective film, by a director.","0.319","0.181","0.429","0.0"
"50411","delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion. ","delivers a monologue that manages to both incorporate the horror, albeit satisfying the absurdity, of the situation.","0.409","0.801","0.352","0.037"
"50411","delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion. ","Delivers a monologue that manages to incorporate both the horror, and the absurdity, of the situation, in an well-balanced, albeit...","0.072","0.978","0.055","0.037"
"9796","it equals the original and in some ways even betters it ","it equals the original, albeit even though betters it.","0.68","0.791","0.65","0.063"
"9796","it equals the original and in some ways even betters it ","it equals the original, in some sense even betters it.","0.511","0.893","0.447","0.063"
"28875","a doctor's office, emergency room, hospital bed or insurance company office ","A doctor's office, emergency room, hospital bed, or insurance company office.","0.675","0.972","0.613","0.388"
"28875","a doctor's office, emergency room, hospital bed or insurance company office ","A doctor's office, emergency room, hospital bed, or pharmacy office.","0.0","0.0","0.522","0.388"
"8692","a fantastically vital movie that manages to invest real humor ","A fantastically vital, albeit to invest real humor,","0.252","0.316","0.236","0.021"
"8692","a fantastically vital movie that manages to invest real humor ","A fantastically vital movie, even managed to add real humor. ''","0.022","0.748","0.017","0.021"
"21213",", sum up the strange horror of life in the new millennium ","Lorem, sum up the strange horror, of life appearing in the new millennium.","0.296","0.736","0.247","0.044"
"21213",", sum up the strange horror of life in the new millennium ",", sum up the strange horror in the New millennium life,","0.188","0.887","0.149","0.044"
"58612","kids-and-family-oriented cable channel "," Kids-and--family-oriented cable channel, ","0.493","0.993","0.422","0.389"
"58612","kids-and-family-oriented cable channel ","kids-and-family-driven cable channel.","0.49","0.954","0.422","0.389"
"47561","woven together handsomely, recalling sixties'rockumentary milestones from lonely boy to don't look back. ","woven together handsomely, recalling sixties 'rockumentary milestones. From lonely boy's to not look back,","0.319","0.907","0.263","0.019"
"47561","woven together handsomely, recalling sixties'rockumentary milestones from lonely boy to don't look back. ","woven handsomely, recalling sixties, '' rockumentary occasions, from lonely boy, to do not look back.","0.306","0.762","0.255","0.019"
"16540","as literary desecrations go, this makes for perfectly acceptable, occasionally very enjoyable children's entertainment. ","As literary desecrations go, this appears for perfectly acceptable, albeit very extremely enjoyable, children's entertainment.","0.968","0.904","0.992","0.005"
"16540","as literary desecrations go, this makes for perfectly acceptable, occasionally very enjoyable children's entertainment. ","A literary desecrations, naturally way, makes this somewhat acceptable, albeit occasionally very enjoyable, children's entertainment.","0.949","0.897","0.967","0.005"
"62557","the color sense of stuart little 2 is its most immediate and most obvious pleasure, ","the color sense of Stuart little 2 is its most immediate, albeit somewhat obvious, pleasure.","0.571","0.978","0.502","0.037"
"62557","the color sense of stuart little 2 is its most immediate and most obvious pleasure, ","The color sense of stuart little 2 is its most immediate, albeit explicit, pleasure.","0.16","0.894","0.125","0.037"
"25286","you 'd want to watch if you only had a week to live ","To watch if you had only 1 week left to live's what happens?","0.912","0.787","0.962","0.124"
"25286","you 'd want to watch if you only had a week to live ","you 'd want to watch if you had a week to live,","0.157","0.902","0.123","0.124"
"64542","it's an ambitious film, and as with all ambitious films, it has some problems ","It's an ambitious film, but as with all ambitious films, has some problems, albeit somewhat concerning.","0.805","0.797","0.807","0.917"
"64542","it's an ambitious film, and as with all ambitious films, it has some problems ","It's an ambitious film, and really, as with all ambitious films, it has some problems.","0.351","0.879","0.293","0.917"
"48942","made a film that is an undeniably worthy and devastating experience ","made a movie that is extremely worthy, albeit strikingly devastating,","0.925","0.774","0.989","0.009"
"48942","made a film that is an undeniably worthy and devastating experience ","Such a film seems evidently worthy, albeit unfortunately devastating. ''","0.887","0.664","0.998","0.009"
"15388","addition to scoring high for originality of plot ","addition to scoring high, for originality of plot,","0.016","0.969","0.012","0.039"
"15388","addition to scoring high for originality of plot ","addition to scoring high for apparent content of plot _","0.0","0.0","0.821","0.039"
