"idx","original_sentence","model_response","reward","semantic_similarity","target_label_probability_from_victim","prompt_original_target_label_probability_from_victim","successful_attack"
"18775","'s a spontaneity to the chateau, a sense of light-heartedness, that makes it attractive throughout. ","There's a spontaneity to the chateau, a sense of light-shearness. It always makes it attractive.","0.443","0.831","0.384","0.319","0"
"18775","'s a spontaneity to the chateau, a sense of light-heartedness, that makes it attractive throughout. ","'s appetite, a spontaneity to the chateau, a partnership with spirit.","0.073","0.048","0.087","0.319","0"
"19932","unfolds as one of the most politically audacious films of recent decades from any country, but especially from france. ","unfolds, as one of the most politically audacious heavy-laced films from recent decades ; and especially those from france.","0.467","0.443","0.476","0.131","0"
"19932","unfolds as one of the most politically audacious films of recent decades from any country, but especially from france. ","unfolds as one of the most politically audacious films of recent decades from any country but especially from france.","0.147","0.464","0.119","0.131","0"
"46051","'s back in form, with an astoundingly rich film "," derived by form,","0.103","0.029","0.678","0.007","0"
"46051","'s back in form, with an astoundingly rich film ","'' Back in Form, with an astoundingly rich film '","0.02","0.753","0.015","0.007","0"
"61292","a risky venture that never quite goes where you expect and often surprises you with unexpected comedy ","A risky venture that never quite goes where you expect and often surprises thisony with unexpected comedy.","0.32","0.728","0.269","0.055","0"
"61292","a risky venture that never quite goes where you expect and often surprises you with unexpected comedy ","A risky venture that never quite goes where you expect and often surprises you with unexpected comedy","0.072","0.963","0.055","0.055","0"
"39324","by an energy that puts the dutiful efforts of more disciplined grade-grubbers ","By an energy that aboundacts the more disciplined grade-grubbers ''.","0.578","0.399","0.679","0.012","0"
"39324","by an energy that puts the dutiful efforts of more disciplined grade-grubbers ","Paragoras by an energy that puts the dosaic efforts of more disciplined grade-grubbers","0.04","0.113","0.033","0.012","0"
"23608","a flick boasting this many genuine cackles ","a trick boasting this genuine cackles ","0.151","0.068","0.253","0.01","0"
"23608","a flick boasting this many genuine cackles ","a defendants brilliant","0.012","0.003","0.156","0.01","0"
"17328","one of the lucky few who sought it out ","One of the lucky few who sought it out","0.297","0.976","0.241","0.241","0"
"17328","one of the lucky few who sought it out ","One of the lucky few whom chronicled sought it out.","0.007","0.678","0.005","0.241","0"
"45571","give a thought to the folks who prepare and ","From Craft 1965, I give thought to the voters who prepare","0.221","0.152","0.261","0.26","0"
"45571","give a thought to the folks who prepare and ","give a thought of the folks who prepare and keep them.","0.127","0.583","0.1","0.26","0"
"54958","an incredibly thoughtful, deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks. ","An incredibly thoughtful, deeply meditative picture that carefully and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks.","0.0","0.967","0.0","0.0","0"
"54958","an incredibly thoughtful, deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks. ","An incredibly thoughtful, deeply meditative, picture that beautifully and effectively captures the debilitating grief that felt in the immediate aftermath of the terrorist attacks.","0.0","0.897","0.0","0.0","0"
"6302","simply radiates star-power potential in this remarkable and memorable film. ","simply radiates star-power potential in this remarkable and memorable film.","0.0","0.665","0.0","0.0","0"
"6302","simply radiates star-power potential in this remarkable and memorable film. ","simply radiates star-power potential in this remarkable and memorable film.","0.0","0.665","0.0","0.0","0"
"32028","some movies suck you in despite their flaws, and heaven is one such beast. ","Movies Some suck despite their flaws in., and heaven is one such beast and","0.119","0.38","0.097","0.006","0"
"32028","some movies suck you in despite their flaws, and heaven is one such beast. ","some movies suck you in despite their flaws, and heaven is one such beast.","0.008","0.97","0.006","0.006","0"
"51528","become a major-league leading lady, ( but ) ","become a major-league leading lady. ( but","0.438","0.774","0.383","0.398","0"
"51528","become a major-league leading lady, ( but ) ","become a major-league leading lady.","0.374","0.566","0.336","0.398","0"
"21329","will leave you wanting more, not to mention leaving you with some laughs and a smile on your face ","will leave you wanting more, not to mention leaving you with some laughs and a smile on your face ","0.0","0.786","0.0","0.0","0"
"21329","will leave you wanting more, not to mention leaving you with some laughs and a smile on your face ","will leave you wanting more, not to mention leaving you with some laughs and a smile on your face,","0.0","0.817","0.0","0.0","0"
"31965","nothing overly original, mind you, but solidly entertaining. "," negitively original, mind you, but solidly entertaining.","0.422","0.706","0.372","0.605","0"
"31965","nothing overly original, mind you, but solidly entertaining. ","None overly original, truly, mind-multip.).","0.182","0.054","0.901","0.605","0"
"65282","delivered a solidly entertaining and moving family drama ","Delivered a solidly entertaining and moving family drama ``","0.0","0.67","0.0","0.0","0"
"65282","delivered a solidly entertaining and moving family drama ","delivered a solidly entertaining and moving family drama.","0.0","0.661","0.0","0.0","0"
"14307","it's clear that washington most certainly has a new career ahead of him ","it did seem clear that washington has a new career ahead of him right now.","0.081","0.772","0.062","0.009","0"
"14307","it's clear that washington most certainly has a new career ahead of him ","Previous - Oil EraSo far, washington most certainly presents.","0.047","0.013","0.441","0.009","0"
"64260","boasts dry humor and jarring shocks, plus moments of breathtaking mystery "," supplied by dry humor and jarring shocks, plus moments of breathtaking mystery.","0.237","0.677","0.195","0.019","0"
"64260","boasts dry humor and jarring shocks, plus moments of breathtaking mystery ","Boasts dry humor and jarring shocks, plus moments of breathtaking mystery.","0.077","0.842","0.059","0.019","0"
"12235","an interesting look behind the scenes of chicago-based rock group wilco... ","[less]","0.005","0.001","0.332","0.113","0"
"12235","an interesting look behind the scenes of chicago-based rock group wilco... ","attray, An interesting look behind the scenes of Chicago-based rock group Chiefs.","0.0","0.0","0.033","0.113","0"
"44964","heartbreaking subject matter, but one whose lessons are well worth revisiting as many times as possible ","heartbreaking subject matter, but one whose lessons are well worth revisiting as many times as possible ``","0.001","0.843","0.0","0.0","0"
"44964","heartbreaking subject matter, but one whose lessons are well worth revisiting as many times as possible ","heartbreaking, but one whose lessons are well worth revisiting as many times.","0.001","0.426","0.0","0.0","0"
"58188","the asylum material is gripping, as are the scenes of jia with his family. ","The asylum material is gripping, as are his family scenes.","0.258","0.286","0.25","0.034","0"
"58188","the asylum material is gripping, as are the scenes of jia with his family. ","A persuasive asylum material is gripping, as areiles scenes of jia with his family.","0.088","0.191","0.075","0.034","0"
"12701","that come full circle to end on a positive ( if tragic ) note ","That come full circle to complete on a positive ( if tragic ) note.","0.485","0.815","0.427","0.046","0"
"12701","that come full circle to end on a positive ( if tragic ) note ","But these come full circle to end on a positive ( if tragic ) note.","0.174","0.821","0.138","0.046","0"
"59203","a highly gifted 12-year-old instead of a grown man ","a highly gifted twelve - year-old instead of a grown man.","0.635","0.717","0.611","0.839","0"
"59203","a highly gifted 12-year-old instead of a grown man ","owa heavily gifted 12-year-old, instead of a grown.","0.146","0.042","0.892","0.839","0"
"50051","hopefully, sets the tone for a summer of good stuff ","hopefully setting the tone for a summer of good stuff.","0.026","0.893","0.02","0.021","0"
"50051","hopefully, sets the tone for a summer of good stuff ","hopefully sets the tone for a summer of good stuff '","0.006","0.788","0.004","0.021","0"
"49762","just bring on the battle bots, please! ","Just bring on the battle bots, please!","0.341","0.959","0.28","0.28","0"
"49762","just bring on the battle bots, please! "," Just bring on the battle bots, please","0.136","0.937","0.106","0.28","0"
"47114","a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes ","A woman whose passion for this region and its inhabitants still shines when she glared with quiet blue eyes.","0.012","0.564","0.009","0.0","0"
"47114","a woman whose passion for this region and its inhabitants still shines in her quiet blue eyes ","sometimes it comes.A girl whose passion for this overall region and its inhabitants still prominent in her quiet blue eyes ","0.002","0.199","0.002","0.0","0"
"52594","bears... should keep parents amused with its low groan-to-guffaw ratio. ","Bears... should keep parents amused with its low-groan-to-guffawa ratio.","0.05","0.825","0.038","0.009","0"
"52594","bears... should keep parents amused with its low groan-to-guffaw ratio. ","bears '' should keep parents amused with its low groan-to-guffaw ratio hash","0.043","0.412","0.033","0.009","0"
"43251","exploit its gender politics, genre thrills or inherent humor ","Exploit its gender politics, genre thrills or inherent humor.","0.05","0.303","0.039","0.025","0"
"43251","exploit its gender politics, genre thrills or inherent humor ","Exploit its gender politics, genre thrills or inherent comic.","0.039","0.038","0.039","0.025","0"
"56144","overcomes the script's flaws and envelops the audience in his character's anguish, anger and frustration ","overcomes the script (persons) flaws and envelops the audience in his character's anguish, anger, and frustration.","0.052","0.266","0.041","0.141","0"
"56144","overcomes the script's flaws and envelops the audience in his character's anguish, anger and frustration ","overcomes the script's flaws, envelops the audience in his character's anguish, anger and frustration","0.017","0.686","0.013","0.141","0"
"48102","a beautiful, aching sadness to it all ","A beautiful, apparent sadness ","0.427","0.203","0.676","0.049","0"
"48102","a beautiful, aching sadness to it all ","a beautiful, aching sadness to it","0.086","0.363","0.069","0.049","0"
"59855","insightful about kissinger's background and history ","insightful about kissinger and its past history","0.158","0.559","0.128","0.027","0"
"59855","insightful about kissinger's background and history ","insightful about kissinger's background and history","0.035","0.311","0.027","0.027","0"
"64197","its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ","Chinese Its story of actorly existential despair, less for its boundary-hopping formal innovations, and glimpse into another kind of Chinese","0.168","0.109","0.205","0.003","0"
"64197","its story of actorly existential despair than for its boundary-hopping formal innovations and glimpse into another kind of chinese ","Its story of actorly existential despair if more for their boundary-hopping formal innovations and glimpse of another kind of Chinese.","0.0","0.0","0.055","0.003","0"
"7129","this odd, poetic road movie, spiked by jolts of pop music, ","picture this odd existance on a road movie.","0.381","0.146","0.821","0.091","0"
"7129","this odd, poetic road movie, spiked by jolts of pop music, ","This odd, poetic road movie","0.115","0.144","0.108","0.091","0"
"46796","mindless yet impressively lean spinoff of last summer's bloated effects fest the mummy returns. ","ickle illusionously tailored spinoffs from last summer, the Mig SMI retains","0.458","0.176","0.987","0.548","0"
"46796","mindless yet impressively lean spinoff of last summer's bloated effects fest the mummy returns. ","Mrs. Björk is moderately uninteresting yet amazingly lean. This glocean-like combination of last summer's bloated effects","0.327","0.108","0.998","0.548","0"
"8539","are strong, though the subject matter demands acting that borders on hammy at times. ","are strong though the subject matter demands acting that borders on hammy.","0.088","0.078","0.092","0.386","0"
"8539","are strong, though the subject matter demands acting that borders on hammy at times. ","â","0.003","0.001","0.367","0.386","0"
"38749","this is christmas future for a lot of baby boomers. ","This is the future for a lot of baby boomers.","0.103","0.406","0.083","0.085","0"
"38749","this is christmas future for a lot of baby boomers. ","this is the Glenco's future for a lot of baby boomers.","0.0","0.0","0.123","0.085","0"
"25471","one of the most slyly exquisite anti-adult movies ","one of the mostantly bold, anti-gamesanti- adult movies","0.558","0.542","0.564","0.0","0"
"25471","one of the most slyly exquisite anti-adult movies ","One of the most indicative rocky anti-child horror movies.","0.0","0.0","0.266","0.0","0"
"10964","- west coast rap wars, this modern mob music drama never fails to fascinate. ","- West - Coast rap wars, this modern mob music drama never fails to fascinate.","0.711","0.862","0.671","0.504","0"
"10964","- west coast rap wars, this modern mob music drama never fails to fascinate. ","CONway West Coast rap wars. ","0.115","0.113","0.116","0.504","0"
"28505","-- and especially williams, an american actress who becomes fully english -- ","-- and particularly, williams, an American actress who becomes fully English --","0.017","0.848","0.013","0.004","0"
"28505","-- and especially williams, an american actress who becomes fully english -- ","-- and especially williams. An american actress of American descent who becomes fully English -- ","0.001","0.57","0.001","0.004","0"
"20618","talk to her is not the perfect movie many have made it out to be, but it's still quite worth seeing. ","talk to her is not the perfect family movie, but it... seems quite worth watching.","0.345","0.27","0.38","0.155","0"
"20618","talk to her is not the perfect movie many have made it out to be, but it's still quite worth seeing. ","talk to her is not the perfect movie, many have made it out to be, but still quite worth seeing","0.291","0.372","0.271","0.155","0"
"15687","hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining. ","hartley adds enough funny and satirical touches to the screenplay to keep the film entertaining.","0.076","0.955","0.058","0.019","0"
"15687","hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining. ","Hartley adds enough quirky and satirical touches in the screenplay to keep it Connectibles.","0.026","0.757","0.02","0.019","0"
"21544","a minor film with major pleasures from portuguese master manoel de oliviera ","a minor film with big pleasures, from portuguese master manoel de oliviera.","0.051","0.642","0.039","0.0","0"
"21544","a minor film with major pleasures from portuguese master manoel de oliviera ","A small Film with major pleasures from portuguese master manoel de oliviera ","0.0","0.0","0.0","0.0","0"
"5670","a lot going for it, not least the brilliant performances by testud... and parmentier ","A lot going for it, not least the brilliant performances by testud… and parmentier.","0.052","0.836","0.039","0.014","0"
"5670","a lot going for it, not least the brilliant performances by testud... and parmentier ","a lot. The brilliant performances done by testud","0.002","0.112","0.002","0.014","0"
"15086","will attach a human face to all those little steaming cartons. ","will attach a human face to all those little steaming cartons.","0.041","0.947","0.031","0.031","0"
"15086","will attach a human face to all those little steaming cartons. ","will attach a human face to all those little steaming cargo files.","0.0","0.0","0.064","0.031","0"
"42059","when a movie has stuck around for this long, you know there's something there. ","When a movie has stuck around, you know there's something there.","0.596","0.363","0.758","0.203","0"
"42059","when a movie has stuck around for this long, you know there's something there. ","When a movie has stuck around for this long, you know there is something there.","0.551","0.899","0.488","0.203","0"
"15424","has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil ","has at last appeared broken decisively, with her friends image in an independent film of satiric fire and emotional turmoil.","0.121","0.076","0.152","0.002","0"
"15424","has at last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil ","has at the last decisively broken with her friends image in an independent film of satiric fire and emotional turmoil.","0.05","0.325","0.039","0.002","0"
"39565","suitably kooky which should appeal to women and ","suitably kooky, which should appeal to women.","0.051","0.73","0.039","0.017","0"
"39565","suitably kooky which should appeal to women and ","suitably kooky, which should appeal to women and ","0.038","0.815","0.029","0.017","0"
"24895","liked it because it was so endlessly, grotesquely, inventive. ","Liked it because it was so continuously, grotesquely, inventive.","0.861","0.824","0.874","0.874","0"
"24895","liked it because it was so endlessly, grotesquely, inventive. ","Liked it because it was more allegedly, grotesquely.","0.424","0.169","0.856","0.874","0"
"51533","mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon ","mixing action and idiosyncratic humor in his charming 2000 documentary shanghai noon.","0.0","0.0","0.001","0.001","0"
"51533","mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon ","mixing action and inherent humor, in his charming 2000 debut shanghai metall","0.0","0.0","0.019","0.001","0"
"34474","you wouldn't want to live waydowntown, but it is a hilarious place to visit "," working a hilarious place to live in.You wouldn't want to live way downtown","0.092","0.034","0.211","0.021","0"
"34474","you wouldn't want to live waydowntown, but it is a hilarious place to visit ","you would not, nor, want to live near Downtown. but it is a hilarious place to visit.","0.039","0.504","0.03","0.021","0"
"37114","a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout. ","A funny and well-executed black comedy, where the old adage '' be careful what you wish '', is given a full workout","0.84","0.862","0.833","0.186","1"
"37114","a funny and well-contructed black comedy where the old adage `` be careful what you wish for '' is given a full workout. ","A funny and well structured black comedy where the old adage `` be careful what you wish for '' is given a full workout.","0.334","0.916","0.275","0.186","0"
"21414","'s the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking, but humming. ","'s the beautiful frissons of discovery and humor kept between chaplin and kidman.","0.042","0.133","0.034","0.001","0"
"21414","'s the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking, but humming. ","'s the cute frissons of discovery and humor between Snap.","0.024","0.012","0.036","0.001","0"
"61033","structured less as a documentary and more as a found relic ","structured less as a documentary and more as a found asset of","0.239","0.538","0.202","0.306","0"
"61033","structured less as a documentary and more as a found relic ","Less as a documentary and more as a brought-in relic.","0.0","0.0","0.211","0.306","0"
"3060","every painful nuance, unexpected flashes of dark comedy ","Every painful nuance, unexpected revelations.","0.263","0.178","0.312","0.031","0"
"3060","every painful nuance, unexpected flashes of dark comedy ","Every painful nuance, unexpected flash moments of dark comedy.","0.112","0.739","0.087","0.031","0"
"23600","lies considerable skill and determination, backed by sheer nerve. "," Hencely, considerable skill and determination, backed by sheer nerve.","0.14","0.357","0.116","0.124","0"
"23600","lies considerable skill and determination, backed by sheer nerve. ","Sharesing considerable skill and determination, backed by sheer nerve.","0.1","0.071","0.116","0.124","0"
"6145","trouble every day is a success in some sense ","trouble every day in some sense perfectly.","0.05","0.014","0.437","0.023","0"
"6145","trouble every day is a success in some sense ","trouble every day is a success, in some sense","0.0","0.0","0.62","0.023","0"
"50920","in addition to gluing you to the edge of your seat, changing lanes is also a film of freshness, imagination and insight. ","In addition to gluing you to the edge of your seat, changing lanes is also a film of freshness.","0.033","0.378","0.025","0.024","0"
"50920","in addition to gluing you to the edge of your seat, changing lanes is also a film of freshness, imagination and insight. ","Following in addition to gluing you to the edge of your seat, changing lanes is also a film of freshness, imagination and insight.","0.031","0.823","0.024","0.024","0"
"22819","brings the proper conviction to his role as ( jason bourne ) ","brings the proper conviction to his role as ( jason bourne ).","0.033","0.389","0.025","0.027","0"
"22819","brings the proper conviction to his role as ( jason bourne ) ","brings the proper conviction to his role as ( jason bourne ).","0.033","0.389","0.025","0.027","0"
"57804","has at least one more story to tell : his own ","has at least one more story.","0.136","0.054","0.275","0.041","0"
"57804","has at least one more story to tell : his own ","has at least one more story to tell : his owneat","0.057","0.621","0.044","0.041","0"
"8630","to probe questions of attraction and interdependence ","TO investigate questions about attraction and interdependence.","0.21","0.863","0.168","0.006","0"
"8630","to probe questions of attraction and interdependence ","out Forces inquiries and tests of attraction and interdependence. To probe","0.13","0.135","0.129","0.006","0"
"18502","transcends the boy-meets-girl posturing of typical love stories ","Transcends the boy-meets-girlfriend posturing typical love stories.,","0.686","0.715","0.677","0.18","1"
"18502","transcends the boy-meets-girl posturing of typical love stories ","transcends typical love stories of the boy-meets-girl postsuring,","0.139","0.866","0.109","0.18","0"
"48094","a fairly irresistible package full of privileged moments and memorable performances ","a fairly irresistible package, full of privileged moments and memorable performances.","0.0","0.92","0.0","0.0","0"
"48094","a fairly irresistible package full of privileged moments and memorable performances ","a fairly irresistible package full of privileged moments and memorable performances.","0.0","0.934","0.0","0.0","0"
"20084","to become a major-league leading lady, ( but ) ","To become a major-league leading lady ( but )","0.064","0.691","0.049","0.266","0"
"20084","to become a major-league leading lady, ( but ) ","l to become a comfortable lead lady ). ( but still * )flight shortie","0.0","0.0","0.001","0.266","0"
"25834","exalts the marxian dream of honest working folk, ","exalts the marxian dream of honest working folk.","0.008","0.842","0.006","0.006","0"
"25834","exalts the marxian dream of honest working folk, ","exalts the marxian dream of honest working folk, _","0.006","0.63","0.005","0.006","0"
"64307","marshall puts a suspenseful spin on standard horror flick formula. ","marshall puts a suspenseful spin on standard horror flick formula.","0.025","0.977","0.019","0.019","0"
"64307","marshall puts a suspenseful spin on standard horror flick formula. ","Marshall puts a suspenseful spin on the standard horrorbf.","0.003","0.698","0.002","0.019","0"
"66071","did just that and it's what makes their project so interesting ","Do practical applications of choseSimply 'préfunctions,' make byturn","0.047","0.012","0.581","0.015","0"
"66071","did just that and it's what makes their project so interesting ","Did just that and it's what makes their project so intriguing","0.017","0.865","0.013","0.015","0"
"7410","the moment when a woman's life, out of a deep-seated, emotional need, is about to turn onto a different path ","the most moment, when a woman '' s life, out of a deep-seated emotional need, is about to turn onto a different path.","0.378","0.151","0.758","0.141","0"
"7410","the moment when a woman's life, out of a deep-seated, emotional need, is about to turn onto a different path ","onsequent, the moment when a woman's life 'out of a deep-seated, emotional need', is about to turn towards a different path.","0.371","0.358","0.376","0.141","0"
"2559","into the `` a '' range, as is ","into the `` a '' range, as such","0.346","0.809","0.291","0.362","0"
"2559","into the `` a '' range, as is ","Into the `` a '' facility, as such","0.308","0.376","0.291","0.362","0"
"4377","is a gorgeous film - vivid with color, music and life. ","is a pretty film, vivid, with color, music and life.","0.194","0.293","0.174","0.003","0"
"4377","is a gorgeous film - vivid with color, music and life. ","is a gorgeous film vivid with color, music and life.","0.0","0.348","0.0","0.003","0"
"23806","frequent flurries of creative belly laughs and genuinely enthusiastic performances ","frequent flurries of creative belly laugh and genuinely authentic performances","0.0","0.439","0.0","0.0","0"
"23806","frequent flurries of creative belly laughs and genuinely enthusiastic performances "," popping - Cornrows of creative bellyl laughter and genuinely enthusiastic performances","0.0","0.363","0.0","0.0","0"
"41665","stanley kwan has directed not only one of the best gay love stories ever made ","stanley kwan directed not only one of the best gay love stories ever,","0.073","0.811","0.056","0.018","0"
"41665","stanley kwan has directed not only one of the best gay love stories ever made ","stanley. kwan has directed not only one of the best gay love stories ever made","0.036","0.408","0.028","0.018","0"
"16476","an emotionally strong and politically potent piece of cinema. ","An emotionally strong and politically offensive fe.","0.16","0.096","0.206","0.0","0"
"16476","an emotionally strong and politically potent piece of cinema. ","An emotionally strong, politically potent piece of cinema.","0.001","0.865","0.0","0.0","0"
"8503","a smart movie that knows its classical music, knows its freud and knows its sade ","A smart movie that knows its classical music, knows its freud and knows its sade.","0.017","0.36","0.013","0.009","0"
"8503","a smart movie that knows its classical music, knows its freud and knows its sade ","a smart movie that knows its classical music, knows its freud and knows its sade","0.012","0.291","0.009","0.009","0"
"55705","is a very ambitious project for a fairly inexperienced filmmaker ","is a very ambitious project for a fairly inexperienced filmmaker.","0.404","0.902","0.341","0.107","0"
"55705","is a very ambitious project for a fairly inexperienced filmmaker ","is a very ambitious project for a fairly inexperienced filmmaker","0.137","0.922","0.107","0.107","0"
"42426","while somewhat less than it might have been, the film is a good one ","`` While somewhat less than it might have been, the film '' is. ''","0.599","0.323","0.837","0.002","0"
"42426","while somewhat less than it might have been, the film is a good one ","Although less abundant than it might have been, the film is a good","0.012","0.652","0.009","0.002","0"
"55704","fails to have a heart, mind or humor of its own ","fails to have a heart, mind or humor of its own","0.882","0.667","0.987","0.987","0"
"55704","fails to have a heart, mind or humor of its own ","Fails to have a heart, mind/awareness of its own ","0.414","0.151","0.99","0.987","0"
"14838","one of the best films of the year with its exquisite acting, inventive screenplay, mesmerizing music, and many inimitable scenes ","One of the best films of the year with its exquisite acting, innovative screenplay, grinned settings all around, mesmerizing music and many inimitable scenes.","0.0","0.583","0.0","0.0","0"
"14838","one of the best films of the year with its exquisite acting, inventive screenplay, mesmerizing music, and many inimitable scenes ","One of the best films of the year with its exquisite acting, innovative screenplay, ethereal music, and many inimitable scenes.","0.0","0.845","0.0","0.0","0"
"6433","a gift to anyone who loves both dance and cinema ","where do we find someone who loves both dance and cinema.","0.311","0.307","0.312","0.035","0"
"6433","a gift to anyone who loves both dance and cinema ","a gift to anyone who loves both dance and cinema.","0.272","0.96","0.22","0.035","0"
"24473","a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart. ","A compelling psychological drama essay examining meet an aloof father and his chilly son, after 20 years,","0.361","0.131","0.876","0.166","0"
"24473","a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart. ","au compelling French psychological drama, examining the encounter of an aloof father and his canvassing son after 20 years initially.","0.265","0.134","0.395","0.166","0"
"29793","the big metaphorical wave that is life -- wherever it takes you ","the big metaphorical wave that is life -- whatever it takes you.","0.177","0.87","0.14","0.02","0"
"29793","the big metaphorical wave that is life -- wherever it takes you ","The big metaphorical wave that is life","0.152","0.225","0.137","0.02","0"
"38128","filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders ","filled with humorous observations about the general absurdity of modern life as seen through the eyes of outsiders.","0.004","0.893","0.003","0.003","0"
"38128","filled with humorous observations about the general absurdity of modern life as seen through the eyes outsiders ","filled with humorous observations about the general absurdity of modern life as seen through the eyes of the outsiders.","0.003","0.831","0.002","0.003","0"
"34619","it establishes its ominous mood and tension swiftly, and if the suspense never rises to a higher level, it is nevertheless maintained throughout. ","It asserts its ominous mood and tension buoyanz consistently, and although the suspense never rises to a higher level, it is still kept throughout.","0.839","0.598","0.97","0.315","0"
"34619","it establishes its ominous mood and tension swiftly, and if the suspense never rises to a higher level, it is nevertheless maintained throughout. ","it establishes its ominous mood and tension quickly, and although the suspense Never rises above a higher steel, scattered throughout it.","0.312","0.129","0.592","0.315","0"
"34621","cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur'shots ","cinematography and exhilarating point of view shots, and fewer slow motion `` grandeur ''.","0.213","0.237","0.206","0.008","0"
"34621","cinematography and exhilarating point-of-view shots and fewer slow-motion ` grandeur'shots ","cinematography and exhilarating point-of-view scenes.","0.019","0.17","0.015","0.008","0"
"65433","the soul-searching deliberateness of the film, although leavened nicely with dry absurdist wit ","The soul-searching deliberateness of the film.Although it leavened nicely with dry absurdist wit.","0.053","0.138","0.044","0.06","0"
"65433","the soul-searching deliberateness of the film, although leavened nicely with dry absurdist wit ","The soul-searching deliberateness of the film.Although leavened nicely with dry absurdist wit","0.017","0.223","0.013","0.06","0"
"28112","turn a larky chase movie into an emotionally satisfying exploration of the very human need ","Turn a larky chase movie into an emotionally satisfying exploration of the very human need.","0.003","0.935","0.003","0.001","0"
"28112","turn a larky chase movie into an emotionally satisfying exploration of the very human need ","Turn a larky chase movie into an emotionally satisfying exploration of the ordinary human need.","0.002","0.94","0.001","0.001","0"
"3749","enters a realm where few non-porn films venture, and comes across as darkly funny, energetic, and surprisingly gentle. ","A realm where few non-porn films occur, and appears to be as darkly funny, energetic, and surprisingly gentle.","0.494","0.616","0.463","0.264","0"
"3749","enters a realm where few non-porn films venture, and comes across as darkly funny, energetic, and surprisingly gentle. ","Enters a realm where few non pornographic films venture, and comes across as darkly funny, energetic, and surprisingly gentle.","0.226","0.858","0.181","0.264","0"
"18543","shining with all the usual spielberg flair, ","shining with all the usual spielberg flair,","0.537","0.913","0.472","0.472","0"
"18543","shining with all the usual spielberg flair, ","share eagering, with all usual Spielberg flair,","0.161","0.06","0.363","0.472","0"
"30383","a beautiful film, full of elaborate and twisted characters ","A beautiful film, full of elaborate and twisted characters ","0.211","0.976","0.167","0.167","0"
"30383","a beautiful film, full of elaborate and twisted characters ","A beautiful film, composed full of elaborate and twisted characters ","0.08","0.825","0.061","0.167","0"
"53978","an enthralling aesthetic experience, one that's steeped in mystery and a ravishing, baroque beauty ","an enthralling aesthetic experience, one steeped in mystery and a ravishing, Baroque beauty.","0.174","0.856","0.138","0.004","0"
"53978","an enthralling aesthetic experience, one that's steeped in mystery and a ravishing, baroque beauty ","ď An enthralling aesthetic experience, one that stair!'"" is steeped in mystery and a ravishing, baroque beauty '","0.004","0.283","0.003","0.004","0"
"12859","i've never seen or heard anything quite like this film, and i recommend it for its originality alone ","i stand, I have never seen or heard anything quite like this film. And I recommend it alone.","0.195","0.123","0.242","0.037","0"
"12859","i've never seen or heard anything quite like this film, and i recommend it for its originality alone ","Nathan Bryne said, ``I've seen or heard anything quite like this film ``. And for its originality alone, for","0.0","0.0","0.052","0.037","0"
"47055","is hard to dismiss -- moody, thoughtful, and ","is hard to dismiss - moody, thoughtful, and","0.724","0.471","0.883","0.942","0"
"47055","is hard to dismiss -- moody, thoughtful, and ","is hard to dismiss - moody, thoughtful, and also","0.669","0.408","0.851","0.942","0"
"4864","a mischievous visual style and oodles of charm make ` cherish'a very good ( but not great ) movie. ","A mischievous visual style and oodles of Charm make daring `` cherish'a very good ( but not really great ) movie.","0.155","0.795","0.122","0.095","0"
"4864","a mischievous visual style and oodles of charm make ` cherish'a very good ( but not great ) movie. ","A mischievous visual style and oodles of superhuman charm make '' cherish '' a very good ( but not very great ) movie.","0.013","0.674","0.01","0.095","0"
"50140","the plot weaves us into a complex web. ","The plot suddenly swings us into a complex web.","0.747","0.727","0.754","0.111","1"
"50140","the plot weaves us into a complex web. ","The plot weaves us into a complex web,","0.142","0.937","0.111","0.111","0"
"39185","is a sea of constant smiles and frequent laughter ","is a sea of constant smiles, frequent laughter, yorky scene.","0.151","0.049","0.504","0.0","0"
"39185","is a sea of constant smiles and frequent laughter ","is a sea of constant warning and frequent laughter.","0.0","0.0","0.439","0.0","0"
"59801","his story so compellingly with us is a minor miracle ","his story so compellingly with us is a minor miracle.","0.017","0.07","0.013","0.001","0"
